Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
14:8:35:148;2.3;0.21;0.6;1;4;4;3;3;64;85;0.96;0.98;0.6;2.01;2.19;1
14:10:09:148;2.4;0.4;0.6;1;4;4;3;3;64;85;0.4;0.4;0.6;2.01;2.19;1
14:10:58:148;2.4;0.46;0.6;1;4;4;3;3;64;85;0.4;0.4;0.6;2.01;2.19;1
14:11:02:148;2.4;1.14;0.6;1;4;4;3;3;64;85;0.4;0.4;0.6;2.01;2.19;1
14:11:06:148;2.4;1.14;0.6;1;4;4;3;3;64;85;0.45;0.4;0.6;2.01;2.19;1
14:11:10:148;2.4;1.14;0.6;1;4;4;3;3;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:17:148;2.4;0.98;0.6;1;4;4;3;3;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:21:148;2.4;0.9;0.6;1;4;4;3;3;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:39:148;2.4;0.9;0.6;1;4;4;2;3;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:41:148;2.4;0.9;0.6;1;4;4;2;4;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:44:148;2.4;0.9;0.6;1;4;4;2;5;64;85;1.43;0.4;0.6;2.01;2.19;1
14:11:51:148;2.4;0.9;0.6;1;4;4;2;5;64;85;1.43;0.4;0.6;2.01;2.4;1
14:11:58:148;2.4;0.9;0.6;0.85;4;4;2;5;64;85;1.43;0.4;0.6;2.01;2.4;1
14:12:5:148;2.4;0.9;0.6;0.85;4;4;2;5;64;85;1.43;0.4;0.6;2.01;2.4;0
14:12:12:148;2.4;0.9;0.6;0.85;5;4;2;5;64;85;1.43;0.4;0.6;2.01;2.4;0
14:12:19:148;2.4;0.9;0.6;0.69;5;4;2;5;64;85;1.43;0.4;0.6;2.01;2.4;0
14:12:26:148;2.4;0.9;0.6;0.69;5;4;2;5;94;85;1.43;0.4;0.6;2.01;2.4;0
14:12:34:148;2.4;0.9;0.6;0.69;5;4;2;5;72;85;1.43;0.4;0.6;2.01;2.4;0
14:12:37:148;2.4;0.9;0.6;0.69;5;4;2;5;97;85;1.43;0.4;0.6;2.01;2.4;0
14:12:48:148;2.4;0.9;0.6;0.69;5;4;2;5;97;85;1.43;0.55;0.6;2.01;2.4;0
14:12:54:148;2.4;0.9;0.6;0.69;5;4;2;5;97;85;1.43;0.87;0.6;2.01;2.4;0
14:13:15:148;2.4;0.9;0.67;0.69;5;4;2;5;97;85;1.43;0.87;0.6;2.01;2.4;0
14:13:20:168;2.4;0.9;1.25;0.69;5;4;2;5;97;85;1.43;0.87;0.6;2.01;2.4;0
14:13:29:626;2.4;0.9;1.22;0.69;5;4;2;5;97;85;1.43;0.87;0.6;2.01;2.4;0
14:13:33:170;2.4;0.9;0.72;0.69;5;4;2;5;97;85;1.43;0.87;0.6;2.01;2.4;0
14:18:45:231;3.2;0.5;0.3;0.2;2;3;5;1;9;1;0.2;0.2;0.8;0.8;0.8;1
14:19:5:23;3.2;0.5;0.3;0.2;5;3;5;1;9;1;0.2;0.2;0.8;0.8;0.8;1
14:19:39:902;3.2;0.5;0.3;0.2;5;4;5;1;9;1;0.2;0.2;0.8;0.8;0.8;1
14:19:57:783;3.2;0.5;0.3;0.2;5;4;5;1;9;1;0.4;0.2;0.8;0.8;0.8;1
14:20:2:466;3.2;0.5;0.3;0.2;5;4;5;1;9;1;0.4;0.2;0.2;0.8;0.8;1
14:20:26:287;3.2;0.5;0.3;0.2;5;4;5;1;9;1;0.4;0.2;0.2;1;0.8;1
14:20:37:331;3.2;0.5;0.3;0.2;5;4;5;1;9;2;0.4;0.2;0.2;1;0.8;1
14:20:46:328;3.2;0.5;0.3;0.5;5;4;5;1;9;2;0.4;0.2;0.2;1;0.8;1
