Name,Level,Order,Type,Object,Time,TileXSize,TileYSize,Variability,Columns,Rows,MultipleX,MultipleY,CladdingSeed,OpeningSeed,MargeX,UpperMargin,LowerMargin,MinOpeningHeight,MinOpeningWidth,DoorNumber,Max,Total,CV
Mathilde,404223002,2,Grasshopper,4,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,18.0,0.4671765921511568
Mathilde,404223002,3,Hybrid,2,21.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,33.0,0.8624393618641033
Mathilde,404223002,3,Hybrid,3,50.0,13.0,20.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,20.0,62.0,1.2830295044854232
Mathilde,404223002,3,Hybrid,4,17.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,5.0,31.0,0.6457370702589753
Mathilde,404223002,1,Plugin,2,20.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,33.0,0.5211013674737371
Mathilde,404223002,1,Plugin,3,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,0.3104698017127927
Mathilde,404223002,1,Plugin,4,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,0.3104698017127927
Mathilde,404223002,0,Tot,0,215.0,28.0,48.0,18.0,28.0,17.0,12.0,12.0,17.0,24.0,12.0,18.0,14.0,28.0,13.0,15.0,48.0,304.0,0.47892232232289317
Mathilde,404223002,0,Average,0,23.88888888888889,3.111111111111111,5.333333333333333,2.0,3.111111111111111,1.8888888888888888,1.3333333333333333,1.3333333333333333,1.8888888888888888,2.6666666666666665,1.3333333333333333,2.0,1.5555555555555556,3.111111111111111,1.4444444444444444,1.6666666666666667,5.333333333333333,33.77777777777778,0.4789223223228931
Mathilde,404223002,0,Standard Deviation,0,23.283279646800427,3.855011168740126,7.14142842854285,1.4142135623730951,2.147349787787521,1.1666666666666667,0.7071067811865476,0.7071067811865476,1.3642254619787415,2.345207879911715,1.0,2.345207879911715,1.666666666666667,2.088327347690278,0.8819171036881969,0.8660254037844386,7.14142842854285,29.6964609201151,0.8383829532625793
Virgil,303334003,1,Grasshopper,2,81.0,5.0,3.0,3.0,6.0,5.0,6.0,4.0,7.0,13.0,6.0,3.0,3.0,5.0,1.0,3.0,13.0,73.0,0.5700060034364283
Virgil,303334003,1,Grasshopper,3,29.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,35.0,1.1976653674384659
Virgil,303334003,1,Grasshopper,4,20.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,0.8284829078330033
Virgil,303334003,3,Hybrid,2,68.0,9.0,13.0,7.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,11.0,1.0,13.0,71.0,0.7719910539126148
Virgil,303334003,3,Hybrid,3,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,0.2420614591379636
Virgil,303334003,3,Hybrid,4,11.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,25.0,0.4342481186734475
Virgil,303334003,2,Plugin,2,24.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,38.0,0.32913528467083897
Virgil,303334003,2,Plugin,3,31.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,15.0,1.0,1.0,2.0,4.0,3.0,3.0,15.0,42.0,1.2532755915818397
Virgil,303334003,2,Plugin,4,10.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,23.0,0.48471088236339555
Virgil,303334003,0,Tot,0,276.0,23.0,27.0,19.0,27.0,23.0,25.0,21.0,25.0,57.0,16.0,15.0,13.0,19.0,25.0,20.0,57.0,355.0,0.43021195350144403
Virgil,303334003,0,Average,0,30.666666666666668,2.5555555555555554,3.0,2.111111111111111,3.0,2.5555555555555554,2.7777777777777777,2.3333333333333335,2.7777777777777777,6.333333333333333,1.7777777777777777,1.6666666666666667,1.4444444444444444,2.111111111111111,2.7777777777777777,2.2222222222222223,6.333333333333333,39.44444444444445,0.430211953501444
