Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
12:33:16:953;3.2;0.5;0.75;0.5;5;3;3;2;65;8;0.2;0.15;0.7;0.8;1.6;1
12:33:29:886;3.2;0.5;0.75;0.5;5;3;3;2;65;8;0.2;0.15;0.7;0.9;1.6;1
12:34:1:403;3.2;0.5;0.75;0.5;5;3;3;2;65;9;0.2;0.15;0.7;0.9;1.6;1
12:34:2:295;3.2;0.5;0.75;0.5;5;3;3;2;65;10;0.2;0.15;0.7;0.9;1.6;1
12:34:4:275;3.2;0.5;0.75;0.5;5;3;3;2;65;11;0.2;0.15;0.7;0.9;1.6;1
12:34:5:987;3.2;0.5;0.75;0.5;5;3;3;2;65;12;0.2;0.15;0.7;0.9;1.6;1
12:34:10:684;3.2;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;1
12:34:15:758;3.2;0.5;0.75;0.5;5;3;3;2;65;14;0.2;0.15;0.7;0.9;1.6;1
12:34:16:575;3.2;0.5;0.75;0.5;5;3;3;2;65;15;0.2;0.15;0.7;0.9;1.6;1
12:34:17:369;3.2;0.5;0.75;0.5;5;3;3;2;65;16;0.2;0.15;0.7;0.9;1.6;1
12:34:18:348;3.2;0.5;0.75;0.5;5;3;3;2;65;17;0.2;0.15;0.7;0.9;1.6;1
12:34:21:302;3.2;0.5;0.75;0.5;5;3;3;2;65;16;0.2;0.15;0.7;0.9;1.6;1
12:34:21:704;3.2;0.5;0.75;0.5;5;3;3;2;65;15;0.2;0.15;0.7;0.9;1.6;1
12:34:22:426;3.2;0.5;0.75;0.5;5;3;3;2;65;14;0.2;0.15;0.7;0.9;1.6;1
12:34:23:693;3.2;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;1
12:35:27:854;3.2;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:35:36:951;3.2;0.5;0.75;0.5;5;3;3;2;65;14;0.2;0.15;0.7;0.9;1.6;2
12:35:37:658;3.2;0.5;0.75;0.5;5;3;3;2;65;15;0.2;0.15;0.7;0.9;1.6;2
12:35:40:944;3.2;0.5;0.75;0.5;5;3;3;2;65;14;0.2;0.15;0.7;0.9;1.6;2
12:35:42:776;3.2;0.5;0.75;0.5;5;3;3;2;65;13;0.2;0.15;0.7;0.9;1.6;2
12:36:3:919;3.2;0.5;0.75;0.5;5;3;3;3;65;13;0.2;0.15;0.7;0.9;1.6;2
