Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
14:6:46:383;1.1;0.76;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:46:770;1.1;0.92;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:47:129;1.1;0.99;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:47:412;1.1;1;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:49:926;1.1;1;0.29;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:50:306;1.1;1;0.69;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:50:567;1.1;1;0.75;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:51:82;1.1;1;1;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:51:419;1.1;1;1.42;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:51:761;1.1;1;1.43;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:52:121;1.1;1;1.77;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:52:419;1.1;1;1.91;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:6:52:640;1.1;1;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:1:556;1.1;0.99;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:1:871;1.1;0.83;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:2:221;1.1;0.62;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:2:547;1.1;0.31;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:2:908;1.1;0.22;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:3:166;1.1;0.2;1.96;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:5:131;1.1;0.2;1.95;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:5:647;1.1;0.2;0.57;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:6:15;1.1;0.2;0.42;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:6:431;1.1;0.2;0.34;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:6:805;1.1;0.2;0.31;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:7:200;1.1;0.2;0.23;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:7:579;1.1;0.2;0.2;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:31:499;1.1;0.2;0.2;1;2;2;4;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:31:709;1.1;0.2;0.2;1;2;2;5;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:31:955;1.1;0.2;0.2;1;2;2;6;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:32:202;1.1;0.2;0.2;1;2;2;7;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:32:580;1.1;0.2;0.2;1;2;2;8;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:33:899;1.1;0.2;0.2;1;2;2;7;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:34:104;1.1;0.2;0.2;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:34:291;1.1;0.2;0.2;1;2;2;2;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:34:494;1.1;0.2;0.2;1;2;2;1;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:36:403;1.1;0.2;0.2;1;2;2;1;2;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:36:572;1.1;0.2;0.2;1;2;2;1;1;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:40:81;1.1;0.2;0.2;1;2;2;2;1;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:40:340;1.1;0.2;0.2;1;2;2;3;1;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:41:690;1.1;0.2;0.2;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:41:940;1.1;0.2;0.2;1;2;2;3;5;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:44:319;1.1;0.2;0.2;1;2;2;3;5;8;31;0.5;0.3;0.7;0.6;1.6;1
14:7:44:786;1.1;0.2;0.2;1;2;2;3;5;7;31;0.5;0.3;0.7;0.6;1.6;1
14:7:45:30;1.1;0.2;0.2;1;2;2;3;5;6;31;0.5;0.3;0.7;0.6;1.6;1
14:7:45:272;1.1;0.2;0.2;1;2;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:7:45:694;1.1;0.2;0.2;1;2;2;3;5;4;31;0.5;0.3;0.7;0.6;1.6;1
14:7:47:310;1.1;0.2;0.2;1;2;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:7:47:562;1.1;0.2;0.2;1;2;2;3;5;7;31;0.5;0.3;0.7;0.6;1.6;1
14:7:47:882;1.1;0.2;0.2;1;2;2;3;5;8;31;0.5;0.3;0.7;0.6;1.6;1
14:7:48:107;1.1;0.2;0.2;1;2;2;3;5;9;31;0.5;0.3;0.7;0.6;1.6;1
14:7:48:959;1.1;0.2;0.2;1;2;2;3;5;8;31;0.5;0.3;0.7;0.6;1.6;1
14:7:49:300;1.1;0.2;0.2;1;2;2;3;5;7;31;0.5;0.3;0.7;0.6;1.6;1
14:7:49:527;1.1;0.2;0.2;1;2;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:7:49:891;1.1;0.2;0.2;1;2;2;3;5;3;31;0.5;0.3;0.7;0.6;1.6;1
14:7:50:185;1.1;0.2;0.2;1;2;2;3;5;0;31;0.5;0.3;0.7;0.6;1.6;1
14:7:50:675;1.1;0.2;0.2;1;2;2;3;5;1;31;0.5;0.3;0.7;0.6;1.6;1
14:7:50:893;1.1;0.2;0.2;1;2;2;3;5;6;31;0.5;0.3;0.7;0.6;1.6;1
14:7:51:239;1.1;0.2;0.2;1;2;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:21:2;1.2;0.2;0.2;1;2;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:32:74;1.2;0.2;0.2;1;3;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:35:830;1.2;0.2;0.2;1;4;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:38:295;1.2;0.2;0.2;1;5;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:44:20;1.2;0.2;0.2;1;4;2;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:51:753;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:54:348;1.2;0.2;0.2;1;4;4;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:8:59:601;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.7;0.6;1.6;1
14:9:31:688;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.7;0.7;1.6;1
14:9:34:652;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.7;1.2;1.6;1
14:9:43:390;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.8;1.2;1.6;1
14:9:45:890;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;1.2;1.2;1.6;1
14:9:47:975;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;1.8;1.2;1.6;1
14:9:59:66;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;1.7;1.2;1.6;1
14:10:0:984;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1.2;1.6;1
14:10:5:876;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1.1;1.6;1
14:10:8:447;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;1
14:10:19:820;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:10:22:121;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;4
14:10:30:265;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;3
14:10:32:143;1.2;0.2;0.2;1;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:10:47:103;1.2;0.2;0.2;0.9;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:10:49:212;1.2;0.2;0.2;0.5;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:10:55:294;1.2;0.2;0.2;0.6;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:10:57:244;1.2;0.2;0.2;0.7;4;3;3;5;5;31;0.5;0.3;0.5;1;1.6;2
14:11:4:231;1.2;0.2;0.2;0.7;4;3;3;5;5;32;0.5;0.3;0.5;1;1.6;2
14:11:6:773;1.2;0.2;0.2;0.7;4;3;3;5;5;44;0.5;0.3;0.5;1;1.6;2
14:11:12:503;1.2;0.2;0.2;0.7;4;3;3;5;5;43;0.5;0.3;0.5;1;1.6;2
14:11:14:562;1.2;0.2;0.2;0.7;4;3;3;5;5;36;0.5;0.3;0.5;1;1.6;2
14:11:19:693;1.2;0.2;0.2;0.7;4;3;3;5;5;35;0.5;0.3;0.5;1;1.6;2
14:11:21:764;1.2;0.2;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:11:38:537;1.2;0.37;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:11:46:604;1.2;0.37;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:11:54:678;1.2;0.35;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:11:55:420;1.2;0.29;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:0:294;1.2;0.2;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:5:724;1.2;0.7;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:9:74;1.2;0.71;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:9:689;1.2;1;0.82;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:13:335;1.2;1;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:19:181;1.2;0.99;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:20:12;1.2;0.67;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:28:776;1.2;0.68;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:30:597;1.2;0.91;0.2;0.7;4;3;3;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:34:230;1.2;0.91;0.2;0.7;4;3;4;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:34:561;1.2;0.91;0.2;0.7;4;3;5;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:35:150;1.2;0.91;0.2;0.7;4;3;4;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:35:858;1.2;0.91;0.2;0.7;4;3;1;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:38:150;1.2;0.91;0.2;0.7;4;3;2;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:38:482;1.2;0.91;0.2;0.7;4;3;8;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:40:255;1.2;0.91;0.2;0.7;4;3;7;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:40:463;1.2;0.91;0.2;0.7;4;3;6;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:41:964;1.2;0.91;0.2;0.7;4;3;7;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:45:251;1.2;0.91;0.2;0.7;4;3;6;5;5;26;0.5;0.3;0.5;1;1.6;2
14:12:49:146;1.2;0.91;0.2;0.7;4;3;6;6;5;26;0.5;0.3;0.5;1;1.6;2
14:12:49:438;1.2;0.91;0.2;0.7;4;3;6;7;5;26;0.5;0.3;0.5;1;1.6;2
14:12:49:724;1.2;0.91;0.2;0.7;4;3;6;9;5;26;0.5;0.3;0.5;1;1.6;2
14:12:50:731;1.2;0.91;0.2;0.7;4;3;6;8;5;26;0.5;0.3;0.5;1;1.6;2
14:12:51:115;1.2;0.91;0.2;0.7;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:12:51:548;1.2;0.91;0.2;0.7;4;3;6;1;5;26;0.5;0.3;0.5;1;1.6;2
14:13:7:116;1.2;0.91;0.2;0.7;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:13:20:788;1.2;0.91;0.2;0.8;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:13:21:647;1.2;0.91;0.2;1;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:13:25:53;1.2;0.91;0.2;0.9;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:13:25:885;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;1;1.6;2
14:13:39:288;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;1;1.7;2
14:13:39:927;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;1;2;2
14:13:43:891;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.9;2;2
14:13:44:514;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.8;2;2
14:13:45:139;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.7;2;2
14:13:51:821;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.6;2;2
14:13:52:388;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.4;2;2
14:13:54:649;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.5;2;2
14:14:10:175;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.4;2;2
14:14:27:953;1.2;0.91;0.2;0.6;5;3;6;2;5;26;0.5;0.3;0.5;0.4;2;2
14:14:30:74;1.2;0.91;0.2;0.6;4;3;6;2;5;26;0.5;0.3;0.5;0.4;2;2
