Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
16:1:30:915;3.3;0.5;0.25;0.6;3;3;2;5;41;18;0;0.2;0.6;0.8;1.5;1
16:1:31:740;3.3;0.5;0.25;0.6;3;3;2;5;41;19;0;0.2;0.6;0.8;1.5;1
16:1:32:311;3.3;0.5;0.25;0.6;3;3;2;5;41;20;0;0.2;0.6;0.8;1.5;1
16:1:32:896;3.3;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;1.5;1
16:2:27:600;3.3;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;2;1
16:2:38:908;3.3;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;5;1
16:3:1:900;3.3;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;2;1
16:3:26:278;3.4;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;2;1
16:3:38:785;3.4;0.5;0.25;0.6;3;3;2;5;41;21;0;0.2;0.6;0.8;1;1
16:3:45:361;3.4;0.5;0.25;0.6;3;3;2;5;41;22;0;0.2;0.6;0.8;1;1
16:3:46:495;3.4;0.5;0.25;0.6;3;3;2;5;41;23;0;0.2;0.6;0.8;1;1
16:3:55:725;3.4;0.5;0.25;0.6;3;3;2;5;41;24;0;0.2;0.6;0.8;1;1
16:3:57:113;3.4;0.5;0.25;0.6;3;3;2;5;41;25;0;0.2;0.6;0.8;1;1
16:3:57:872;3.4;0.5;0.25;0.6;3;3;2;5;41;26;0;0.2;0.6;0.8;1;1
16:10:45:263;1.1;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
16:11:57:873;1.2;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
16:12:23:175;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
16:12:47:934;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;0.7;0.8;1
16:12:48:682;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;1.1;0.8;1
16:12:50:628;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;1.2;0.8;1
16:12:51:400;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;1.7;0.8;1
16:12:52:215;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;1.9;0.8;1
16:12:52:970;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.1;0.7;0.9;0.8;1
16:13:13:117;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.2;0.7;0.9;0.8;1
16:13:13:998;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.8;0.7;0.9;0.8;1
16:13:16:652;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;1.7;0.7;0.9;0.8;1
16:13:17:424;1.2;0.3;0.3;0.4;3;2;3;3;9;53;0.3;0.9;0.7;0.9;0.8;1
